"senecio",,"roja","Al fin y al cabo decir que es acojedora se queda corta... trataré de dormir"
"senecio",,"roja","uhm... mmmmmm"
,,"roja","A Senecio le cuesta conciliar el sueño, pero al final consigue dormir"
"dark_dal",,"roja",""
,,"roja","Senecio tiene una pesadilla, y al despertar siente que algo le ha estado observando"
"senecio",,"roja","*Senecio completamente empapado en sudor* H-he tenido una pesadilla horrible..."
,,"roja","Senecio comprueba todos los rincones de la habitación para asegurarse de que solo es el malestar del sueño, que la habitación esta vacía"
"senecio",,"roja","No hay nadie. A veces... creo que nunca superaré los estragos que la guerra dejó en mí"
,,"roja","Senecio siente la necesidad de estirar las piernas y despejar su mente. Recuerda que dejó su libro favorito en la sala principal y decide ir a buscarlo."
,,"salita","Al entrar en la acogedora sala, sus ojos buscan su libro en la mesa auxiliar. Allí está, justo donde lo dejó la noche anterior. "
,,"salita","Senecio lo recoge con una sonrisa, sintiendo la familiaridad reconfortante de su historia favorita."
,,"salita","Con el libro en mano, su mirada se dirige hacia la puerta, esperando ver a su mujer llegar. "
"senecio",,"salita"," *Suspira* Pensé que ya habrías llegado Dahlia..."
,,"salita","La ilusión llena su corazón mientras imagina la puerta abriéndose para revelar a Dahlia, con una sonrisa radiante y los ojos llenos de amor."
,,"salita","Sin embargo, la sala está vacía, y la expectativa se mezcla con un toque de melancolía."
,,"vestibulo","Decidido, abandona la estancia. Los pasillos majestuosos lo envuelven nuevamente mientras avanza hacia el vestíbulo, esperando encontrar distracción en la grandiosidad del lugar."
,,"vestibulo","Las puertas numeradas y las luces suaves crean una atmósfera acogedora en el vestíbulo. Senecio se sumerge en la elegancia del entorno."
,,"recepcion","Finalmente, llega a la recepción, donde el murmullo de conversaciones y la música clásica le dan la bienvenida."
"senecio",,"recepcion"," *Senecio ee acerca al mostrador, donde el recepcionista, siempre atento, lo saluda con una sonrisa*"
"rubia",,"recepcion","Señ *carraspea* disculpe, Senecio, buenos días."
"senecio",,"recepcion","Buenos días Thomas ¿Tiene alguna noticia sobre mi mujer?"
